job_id	experiment_name	planner_lr	planner_n_iters	type
7475894	E0-bc-baseline	—	—	BC
7475901	G-lr0.2-ni5	0.2	5	GBP
7475902	G-lr0.2-ni10	0.2	10	GBP
7475905	G-lr0.2-ni15	0.2	15	GBP
7475906	G-lr0.2-ni20	0.2	20	GBP
7475907	G-lr0.3-ni5	0.3	5	GBP
7475908	G-lr0.3-ni10	0.3	10	GBP
7475910	G-lr0.3-ni15	0.3	15	GBP
7475911	G-lr0.3-ni20	0.3	20	GBP
7475912	G-lr0.4-ni5	0.4	5	GBP
7475914	G-lr0.4-ni10	0.4	10	GBP
7475916	G-lr0.4-ni15	0.4	15	GBP
7475917	G-lr0.4-ni20	0.4	20	GBP
7475919	G-lr0.5-ni5	0.5	5	GBP
7475921	G-lr0.5-ni10	0.5	10	GBP
7475922	G-lr0.5-ni15	0.5	15	GBP
7475924	G-lr0.5-ni20	0.5	20	GBP
